CODE_TRANSACTION;NOM_PRODUIT;NOM_PHARMACIE;DATE_TRANSACTION;QUANTITE_VENDUE
1;Doliprane 1000;Nejib Eloued;2020-01-03;200
2;Doliprane 1000;Moez Ben Omrane;2020-01-03;210
3;Doliprane 1000;Ghazi Saihi;2020-01-03;190
4;Doliprane 1000;Hichem Najjar;2020-01-04;150
5;Doliprane 1000;Karim Sarrai;2020-01-04;160
6;Doliprane 1000;Hafedh Atallah;2020-01-04;100
7;Doliprane 1000;Latifa Aouidj;2020-01-04;180
8;Doliprane 1000;Rached Khabthani;2020-01-05;250
9;Doliprane 1000;Hedi Bel Hadj Hassen;2020-01-05;300
10;Doliprane 1000;Sonia Mellouli;2020-01-05;260
11;Doliprane 500;Nejib Eloued;2020-01-06;150
12;Doliprane 500;Moez Ben Omrane;2020-01-06;160
13;Doliprane 500;Ghazi Saihi;2020-01-06;150
14;Doliprane 500;Hichem Najjar;2020-01-07;200
15;Doliprane 500;Karim Sarrai;2020-01-07;200
16;Doliprane 500;Hafedh Atallah;2020-01-07;190
17;Doliprane 500;Latifa Aouidj;2020-01-07;180
18;Doliprane 500;Rached Khabthani;2020-01-08;200
19;Doliprane 500;Hedi Bel Hadj Hassen;2020-01-08;245
20;Doliprane 500;Sonia Mellouli;2020-01-08;255
21;Dolirhume;Nejib Eloued;2020-01-09;175
22;Dolirhume;Moez Ben Omrane;2020-01-09;160
23;Dolirhume;Ghazi Saihi;2020-01-09;200
24;Dolirhume;Hichem Najjar;2020-01-10;210
25;Dolirhume;Karim Sarrai;2020-01-10;245
26;Dolirhume;Hafedh Atallah;2020-01-10;266
27;Dolirhume;Latifa Aouidj;2020-01-10;178
28;Dolirhume;Rached Khabthani;2020-01-11;201
29;Dolirhume;Hedi Bel Hadj Hassen;2020-01-11;213
30;Dolirhume;Sonia Mellouli;2020-01-11;198
31;Efferalgon;Nejib Eloued;2020-01-12;144
32;Efferalgon;Moez Ben Omrane;2020-01-12;156
33;Efferalgon;Ghazi Saihi;2020-01-12;213
34;Efferalgon;Hichem Najjar;2020-01-13;222
35;Efferalgon;Karim Sarrai;2020-01-13;333
36;Efferalgon;Hafedh Atallah;2020-01-13;321
37;Efferalgon;Latifa Aouidj;2020-01-13;298
38;Efferalgon;Rached Khabthani;2020-01-14;248
39;Efferalgon;Hedi Bel Hadj Hassen;2020-01-14;265
40;Efferalgon;Sonia Mellouli;2020-01-14;315
41;Aspegic;Nejib Eloued;2020-01-15;325
42;Aspegic;Moez Ben Omrane;2020-01-15;265
43;Aspegic;Ghazi Saihi;2020-01-15;357
44;Aspegic;Hichem Najjar;2020-01-16;251
45;Aspegic;Karim Sarrai;2020-01-16;351
46;Aspegic;Hafedh Atallah;2020-01-16;298
47;Aspegic;Latifa Aouidj;2020-01-16;311
48;Aspegic;Rached Khabthani;2020-01-17;287
49;Aspegic;Hedi Bel Hadj Hassen;2020-01-17;333
50;Aspegic;Sonia Mellouli;2020-01-17;296
51;Smecta;Nejib Eloued;2020-01-18;222
52;Smecta;Moez Ben Omrane;2020-01-18;100
53;Smecta;Ghazi Saihi;2020-01-18;150
54;Smecta;Hichem Najjar;2020-01-19;201
55;Smecta;Karim Sarrai;2020-01-19;166
56;Smecta;Hafedh Atallah;2020-01-19;213
57;Smecta;Latifa Aouidj;2020-01-19;221
58;Smecta;Rached Khabthani;2020-01-20;164
59;Smecta;Hedi Bel Hadj Hassen;2020-01-20;245
60;Smecta;Sonia Mellouli;2020-01-20;324
61;Gripex;Nejib Eloued;2020-01-21;400
62;Gripex;Moez Ben Omrane;2020-01-21;500
63;Gripex;Ghazi Saihi;2020-01-21;365
64;Gripex;Hichem Najjar;2020-01-22;333
65;Gripex;Karim Sarrai;2020-01-22;352
66;Gripex;Hafedh Atallah;2020-01-22;365
67;Gripex;Latifa Aouidj;2020-01-22;421
68;Gripex;Rached Khabthani;2020-01-23;152
69;Gripex;Hedi Bel Hadj Hassen;2020-01-23;321
70;Gripex;Sonia Mellouli;2020-01-23;231
71;Panadol;Nejib Eloued;2020-01-24;235
72;Panadol;Moez Ben Omrane;2020-01-24;421
73;Panadol;Ghazi Saihi;2020-01-24;321
74;Panadol;Hichem Najjar;2020-01-25;654
75;Panadol;Karim Sarrai;2020-01-25;456
76;Panadol;Hafedh Atallah;2020-01-25;321
77;Panadol;Latifa Aouidj;2020-01-25;452
78;Panadol;Rached Khabthani;2020-01-26;451
79;Panadol;Hedi Bel Hadj Hassen;2020-01-26;245
80;Panadol;Sonia Mellouli;2020-01-26;123
81;Cetamol;Nejib Eloued;2020-01-27;456
82;Cetamol;Moez Ben Omrane;2020-01-27;231
83;Cetamol;Ghazi Saihi;2020-01-27;245
84;Cetamol;Hichem Najjar;2020-01-28;154
85;Cetamol;Karim Sarrai;2020-01-28;652
86;Cetamol;Hafedh Atallah;2020-01-28;325
87;Cetamol;Latifa Aouidj;2020-01-28;451
88;Cetamol;Rached Khabthani;2020-01-29;224
89;Cetamol;Hedi Bel Hadj Hassen;2020-01-29;335
90;Cetamol;Sonia Mellouli;2020-01-29;444
91;Fervex;Nejib Eloued;2020-01-30;100
92;Fervex;Moez Ben Omrane;2020-01-30;222
93;Fervex;Ghazi Saihi;2020-01-30;555
94;Fervex;Hichem Najjar;2020-01-31;354
95;Fervex;Karim Sarrai;2020-01-31;456
96;Fervex;Hafedh Atallah;2020-01-31;154
97;Fervex;Latifa Aouidj;2020-01-31;653
98;Fervex;Rached Khabthani;2020-02-01;245
99;Fervex;Hedi Bel Hadj Hassen;2020-02-01;351
100;Fervex;Sonia Mellouli;2020-02-01;254
